source,rating,text,date
apple,1,"Bad stats shared by IndApp
No way to connect with Grmini or Claude even i wan to to check my portfolio health and tax harvesting.
No console like zerodha",2026-03-18
apple,2,OTP is not being received on sms neither WhatsApp,2026-03-17
apple,1,"I love the app features but I hate how the things or organised. I know it's not easy but it is necessary to completely redesign the UI. Instead of spending effort in putting new features in. Concentrate on app interface. There are lot of blank space between each option, poor placement of features, etc. look other investment app like paytm money, they have decent UI. I feel I spend lot of time scrolling in IndMoney where it doesn't need scrolling in other apps. Please improve the UI at the earliest.",2026-03-14
apple,1,I am unable to cancel my US stocks SIP and also there is no option to remove mandate for auto deduction. This is such a pathetic app that even customer support is not at all reliable,2026-03-13
apple,1,"You guys should seriously think to give an option to update the average buy price of share in case of share transfer. Your support team is waste of time and irritating, it’s been almost a week i have transferred my share to your platform and you guys are not able to update my avg buy price, have already raised multiple tickets and mail.",2026-03-13
apple,1,Too much charges on everything there are other brokers who charge less,2026-03-13
apple,1,"I have noticed this thing many times: whenever I place a buy order for trading on stock broker apps, I get allotted a higher price, and whenever I sell, it almost always executes at a lower price. Why does this happen? Is there some kind of scam going on with stock market broker apps?",2026-03-13
apple,1,I don’t understand how come this app has 4.7 ratings. Such confusing app and horrible UI. Additionally now with AI stuff everything is bombarded inside a chatbot which could have been done using a button earlier. Not gonna use this anymore.,2026-03-10
apple,1,good app but zero transparency. after being a investor i am withdrawing money simply because they are unable to tell why they have deducted money. they have zero knowledge and customer care tis pathetic,2026-03-09
apple,3,"After the latest update, the stock icons under “My Stocks” are not visible. It’s affecting user experience.  

Also, it would be helpful if the top section (showing Current Value, Wallet, and Buying Power) could be fixed or frozen while scrolling. Currently, users need to scroll all the way up every time just to check the wallet balance, which is inconvenient.

Additionally, the Dividend Report option is not easily accessible. At the moment, users have to scroll to the top, tap the “>”, and then select Dividend Report. It would be much better if this option were placed somewhere more visible and easier to access.

Overall, improving these UI aspects would make the app more user-friendly.",2026-03-09
apple,1,After Upload Barcode no fund refresh,2026-03-08
apple,2,"In the Report View/Download, under Custom Transaction Reports, the custom date selector for the “From” field is not working correctly. When a date is selected, it does not update and always defaults to the current date instead of the selected value.",2026-03-06
apple,5,"INDmoney is a versatile financial app that lets you invest and track your money in multiple ways. You can trade in US stocks, Indian stocks, and mutual funds, make UPI payments, and even get cashbacks from transactions. It also helps track your bank accounts, manage bill payments, and gives a consolidated view of your finances. Very useful for anyone looking for an all-in-one money management and investment platform",2026-03-06
